2,670
3,1430
4,2550
5,4110
6,6200
7,8900
8,12320
9,16550
10,21720
11,27940
12,35330
13,44030
14,54170
15,65890
16,79330
17,94650
18,112000
19,131540
20,153430
21,177840
22,204950
23,234920
24,267940
25,304190
26,343860
27,387140
28,434230
29,485320
30,540620
31,600330
32,664660
33,733820
34,808030
35,887510
36,972470
37,1063150
38,1159770
39,1262560
40,1371760
41,1487600
42,1610330
43,1740180
44,1877400
45,2022250
46,2174970
47,2335820
48,2505050
49,2682920
50,2869700
51,3065650
52,3271040
53,3486140
54,3711230
55,3946580
56,4192460
57,4449160
58,4716960
59,4996150
60,5287010
61,5589830
62,5904910
63,6232540
64,6573020
65,6926660
66,7293750
67,7674600
68,8069510
69,8478790
70,8902760
71,9341730
72,9796010
73,10265920
74,10751790
75,11253930
76,11772680
77,12308350
78,12861280
79,13431800
80,14020240
81,14626930
82,15252220
83,15896440
84,16559940
85,17243060
86,17946140
87,18669530
88,19413590
89,20178660
90,20965100
91,21773260
92,22603500
93,23456180
94,24331670
95,25230320
96,26152500
97,27098580
98,28068930
99,29063920
